epoch,acc,loss,val_acc,val_loss
0,0.13879155515439603,0.5591602353743411,0.15803794308537195,0.5450619656564709
1,0.15682008390195684,0.5264959260809497,0.16248127808361962,0.5378388758932895
2,0.16400416750424043,0.5150573573543925,0.1659760359468248,0.5354949257311914
3,0.16888508750839215,0.5075816379778642,0.1628057913137744,0.5344881674437539
4,0.17231552684374618,0.5019962961097302,0.16268097853294564,0.5343837589040377
5,0.1750483165096557,0.4976287927555135,0.1649775337009387,0.5348502484965313
6,0.17759979609196547,0.49407332548052807,0.16457813280154274,0.5349750969449223
7,0.17925129446208676,0.49109300853439336,0.16435346979605098,0.535280733482277
8,0.1808778298498009,0.48863341589296433,0.16260609086444838,0.5357114217368234
9,0.18190525365674848,0.48645782885696803,0.1617823265109786,0.5360393835227012
